number_of_sample,train_error,test_error,W0,W1,W2,W3,W4,W5,W6
10,0.3434533566253881,0.223855384223341,-0.0027190116365078173,-0.011450227795918713,-0.010374689371105892,-0.008540657155461122,-0.00702535785720604,-0.005869095712368382,-0.0049880165998011095
100,0.2980799986278411,0.21638184077832992,-0.003706032901463982,-0.008852598831204673,-0.00809480002330037,-0.006618879436805544,-0.005311803012671372,-0.00428474921639522,-0.003499858910649123
1000,0.29986001105003285,0.30185633913720283,-0.0011603086956063647,-0.008555616221746425,-0.008378585543869454,-0.007064287699583587,-0.005787621277397815,-0.004744864674766924,-0.003928133555296304
10000,0.28758175437202715,0.2935895774920463,0.0001397958482373575,-0.007845226680042105,-0.007890827218091643,-0.006710837494162757,-0.005517936940431354,-0.004526736052937904,-0.0037406381198850196
